
state,area,category,number,date
alaska,Peninsula and Aleutian Islands,Individuals/Families,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Childcare and Pre-Schools,0,2023-01-11
alaska,Peninsula and Aleutian Islands,K-12 Schools and Districts,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Colleges and Universities,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Local Government,0,2023-01-11
alaska,Peninsula and Aleutian Islands,State Government,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Federal/National Government (Including Military),0,2023-01-11
alaska,Peninsula and Aleutian Islands,Tribes/Indigenous Peoples,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Businesses,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Hotels and Other Lodgings,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Healthcare,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Senior Facilities/Communities,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Disability/AFN Organizations,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Non-Profit Organizations,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Neighborhood Groups,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Preparedness Organizations,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Faith-based Organizations,0,2023-01-11
alaska,Peninsula and Aleutian Islands,"Museums, Libraries, Parks, etc.",0,2023-01-11
alaska,Peninsula and Aleutian Islands,Volunteer/Service Clubs,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Youth Organizations,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Animal Shelter/Service Providers,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Agriculture/Livestock Sector,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Volunteer Radio Groups,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Science/Engineering Organizations,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Media Organizations,0,2023-01-11
alaska,Peninsula and Aleutian Islands,Other,0,2023-01-11
alaska,West,Individuals/Families,0,2023-01-11
alaska,West,Childcare and Pre-Schools,0,2023-01-11
alaska,West,K-12 Schools and Districts,0,2023-01-11
alaska,West,Colleges and Universities,0,2023-01-11
alaska,West,Local Government,0,2023-01-11
alaska,West,State Government,0,2023-01-11
alaska,West,Federal/National Government (Including Military),0,2023-01-11
alaska,West,Tribes/Indigenous Peoples,0,2023-01-11
alaska,West,Businesses,0,2023-01-11
alaska,West,Hotels and Other Lodgings,0,2023-01-11
alaska,West,Healthcare,0,2023-01-11
alaska,West,Senior Facilities/Communities,0,2023-01-11
alaska,West,Disability/AFN Organizations,0,2023-01-11
alaska,West,Non-Profit Organizations,0,2023-01-11
alaska,West,Neighborhood Groups,0,2023-01-11
alaska,West,Preparedness Organizations,0,2023-01-11
alaska,West,Faith-based Organizations,0,2023-01-11
alaska,West,"Museums, Libraries, Parks, etc.",0,2023-01-11
alaska,West,Volunteer/Service Clubs,0,2023-01-11
alaska,West,Youth Organizations,0,2023-01-11
alaska,West,Animal Shelter/Service Providers,0,2023-01-11
alaska,West,Agriculture/Livestock Sector,0,2023-01-11
alaska,West,Volunteer Radio Groups,0,2023-01-11
alaska,West,Science/Engineering Organizations,0,2023-01-11
alaska,West,Media Organizations,0,2023-01-11
alaska,West,Other,0,2023-01-11
alaska,North,Individuals/Families,0,2023-01-11
alaska,North,Childcare and Pre-Schools,0,2023-01-11
alaska,North,K-12 Schools and Districts,0,2023-01-11
alaska,North,Colleges and Universities,0,2023-01-11
alaska,North,Local Government,0,2023-01-11
alaska,North,State Government,0,2023-01-11
alaska,North,Federal/National Government (Including Military),0,2023-01-11
alaska,North,Tribes/Indigenous Peoples,0,2023-01-11
alaska,North,Businesses,0,2023-01-11
alaska,North,Hotels and Other Lodgings,0,2023-01-11
alaska,North,Healthcare,0,2023-01-11
alaska,North,Senior Facilities/Communities,0,2023-01-11
alaska,North,Disability/AFN Organizations,0,2023-01-11
alaska,North,Non-Profit Organizations,0,2023-01-11
alaska,North,Neighborhood Groups,0,2023-01-11
alaska,North,Preparedness Organizations,0,2023-01-11
alaska,North,Faith-based Organizations,0,2023-01-11
alaska,North,"Museums, Libraries, Parks, etc.",0,2023-01-11
alaska,North,Volunteer/Service Clubs,0,2023-01-11
alaska,North,Youth Organizations,0,2023-01-11
alaska,North,Animal Shelter/Service Providers,0,2023-01-11
alaska,North,Agriculture/Livestock Sector,0,2023-01-11
alaska,North,Volunteer Radio Groups,0,2023-01-11
alaska,North,Science/Engineering Organizations,0,2023-01-11
alaska,North,Media Organizations,0,2023-01-11
alaska,North,Other,0,2023-01-11
alaska,Interior,Individuals/Families,0,2023-01-11
alaska,Interior,Childcare and Pre-Schools,0,2023-01-11
alaska,Interior,K-12 Schools and Districts,0,2023-01-11
alaska,Interior,Colleges and Universities,0,2023-01-11
alaska,Interior,Local Government,0,2023-01-11
alaska,Interior,State Government,0,2023-01-11
alaska,Interior,Federal/National Government (Including Military),0,2023-01-11
alaska,Interior,Tribes/Indigenous Peoples,0,2023-01-11
alaska,Interior,Businesses,0,2023-01-11
alaska,Interior,Hotels and Other Lodgings,0,2023-01-11
alaska,Interior,Healthcare,0,2023-01-11
alaska,Interior,Senior Facilities/Communities,0,2023-01-11
alaska,Interior,Disability/AFN Organizations,0,2023-01-11
alaska,Interior,Non-Profit Organizations,0,2023-01-11
alaska,Interior,Neighborhood Groups,0,2023-01-11
alaska,Interior,Preparedness Organizations,0,2023-01-11
alaska,Interior,Faith-based Organizations,0,2023-01-11
alaska,Interior,"Museums, Libraries, Parks, etc.",0,2023-01-11
alaska,Interior,Volunteer/Service Clubs,0,2023-01-11
alaska,Interior,Youth Organizations,0,2023-01-11
alaska,Interior,Animal Shelter/Service Providers,0,2023-01-11
alaska,Interior,Agriculture/Livestock Sector,0,2023-01-11
alaska,Interior,Volunteer Radio Groups,0,2023-01-11
alaska,Interior,Science/Engineering Organizations,0,2023-01-11
alaska,Interior,Media Organizations,0,2023-01-11
alaska,Interior,Other,0,2023-01-11
alaska,Southcentral,Individuals/Families,0,2023-01-11
alaska,Southcentral,Childcare and Pre-Schools,0,2023-01-11
alaska,Southcentral,K-12 Schools and Districts,0,2023-01-11
alaska,Southcentral,Colleges and Universities,0,2023-01-11
alaska,Southcentral,Local Government,0,2023-01-11
alaska,Southcentral,State Government,0,2023-01-11
alaska,Southcentral,Federal/National Government (Including Military),0,2023-01-11
alaska,Southcentral,Tribes/Indigenous Peoples,0,2023-01-11
alaska,Southcentral,Businesses,0,2023-01-11
alaska,Southcentral,Hotels and Other Lodgings,0,2023-01-11
alaska,Southcentral,Healthcare,0,2023-01-11
alaska,Southcentral,Senior Facilities/Communities,0,2023-01-11
alaska,Southcentral,Disability/AFN Organizations,0,2023-01-11
alaska,Southcentral,Non-Profit Organizations,0,2023-01-11
alaska,Southcentral,Neighborhood Groups,0,2023-01-11
alaska,Southcentral,Preparedness Organizations,0,2023-01-11
alaska,Southcentral,Faith-based Organizations,0,2023-01-11
alaska,Southcentral,"Museums, Libraries, Parks, etc.",0,2023-01-11
alaska,Southcentral,Volunteer/Service Clubs,0,2023-01-11
alaska,Southcentral,Youth Organizations,0,2023-01-11
alaska,Southcentral,Animal Shelter/Service Providers,0,2023-01-11
alaska,Southcentral,Agriculture/Livestock Sector,0,2023-01-11
alaska,Southcentral,Volunteer Radio Groups,0,2023-01-11
alaska,Southcentral,Science/Engineering Organizations,0,2023-01-11
alaska,Southcentral,Media Organizations,0,2023-01-11
alaska,Southcentral,Other,0,2023-01-11
alaska,Southeast,Individuals/Families,0,2023-01-11
alaska,Southeast,Childcare and Pre-Schools,0,2023-01-11
alaska,Southeast,K-12 Schools and Districts,0,2023-01-11
alaska,Southeast,Colleges and Universities,0,2023-01-11
alaska,Southeast,Local Government,0,2023-01-11
alaska,Southeast,State Government,0,2023-01-11
alaska,Southeast,Federal/National Government (Including Military),0,2023-01-11
alaska,Southeast,Tribes/Indigenous Peoples,0,2023-01-11
alaska,Southeast,Businesses,0,2023-01-11
