state,category,number,date
alaska,"<tr><td align=""left""><a href=""https://www.shakeout.org/alaska/participant_list.php?start=alaska&amp;category=other"" style=""font-size:14px;"">Other</a></td><td align=""right"" style=""font-size:14px;"">0</td></tr>",0,2022-06-05
americansamoa,"<tr><td align=""left""><a href=""https://www.shakeout.org/americansamoa/participant_list.php?start=americansamoa&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">0</td></tr>",0,2022-06-05
americansamoa,Childcare and Pre-Schools,0,2022-06-05
americansamoa,K-12 Schools and Districts,0,2022-06-05
americansamoa,Colleges and Universities,0,2022-06-05
americansamoa,Local Government,100,2022-06-05
americansamoa,State Government,0,2022-06-05
americansamoa,Federal/National Government (Including Military),0,2022-06-05
americansamoa,Tribes/Indigenous Peoples,0,2022-06-05
americansamoa,Businesses,6,2022-06-05
americansamoa,Hotels and Other Lodgings,0,2022-06-05
americansamoa,Healthcare,0,2022-06-05
americansamoa,Senior Facilities/Communities,0,2022-06-05
americansamoa,Disability/AFN Organizations,0,2022-06-05
americansamoa,Non-Profit Organizations,0,2022-06-05
americansamoa,Neighborhood Groups,0,2022-06-05
americansamoa,Preparedness Organizations,0,2022-06-05
americansamoa,Faith-based Organizations,0,2022-06-05
americansamoa,"Museums, Libraries, Parks, etc.",0,2022-06-05
americansamoa,Animal Shelter/Service Providers,0,2022-06-05
americansamoa,Agriculture/Livestock Sector,0,2022-06-05
americansamoa,Volunteer Radio Groups,0,2022-06-05
americansamoa,Science/Engineering Organizations,0,2022-06-05
americansamoa,Media Organizations,0,2022-06-05
americansamoa,Other,0,2022-06-05
arizona,"<tr><td align=""left""><a href=""https://www.shakeout.org/arizona/participant_list.php?start=arizona&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">6</td></tr>",6,2022-06-05
arizona,Childcare and Pre-Schools,0,2022-06-05
arizona,K-12 Schools and Districts,0,2022-06-05
arizona,Colleges and Universities,0,2022-06-05
arizona,Local Government,0,2022-06-05
arizona,State Government,0,2022-06-05
arizona,Federal/National Government (Including Military),0,2022-06-05
arizona,Tribes/Indigenous Peoples,0,2022-06-05
arizona,Businesses,0,2022-06-05
arizona,Hotels and Other Lodgings,0,2022-06-05
arizona,Healthcare,240,2022-06-05
arizona,Senior Facilities/Communities,0,2022-06-05
arizona,Disability/AFN Organizations,0,2022-06-05
arizona,Non-Profit Organizations,0,2022-06-05
arizona,Neighborhood Groups,0,2022-06-05
arizona,Preparedness Organizations,0,2022-06-05
arizona,Faith-based Organizations,0,2022-06-05
arizona,"Museums, Libraries, Parks, etc.",0,2022-06-05
arizona,Animal Shelter/Service Providers,0,2022-06-05
arizona,Agriculture/Livestock Sector,0,2022-06-05
arizona,Volunteer Radio Groups,0,2022-06-05
arizona,Science/Engineering Organizations,0,2022-06-05
arizona,Media Organizations,0,2022-06-05
arizona,Other,0,2022-06-05
california,"<tr><td align=""left""><a href=""https://www.shakeout.org/california/participant_list.php?start=california&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">656</td></tr>",656,2022-06-05
california,Childcare and Pre-Schools,"5,355",2022-06-05
california,K-12 Schools and Districts,"3,396,712",2022-06-05
california,Colleges and Universities,"738,291",2022-06-05
california,Local Government,"420,122",2022-06-05
california,State Government,"24,278",2022-06-05
california,Federal/National Government (Including Military),"48,453",2022-06-05
california,Businesses,"142,081",2022-06-05
california,Hotels and Other Lodgings,"1,750",2022-06-05
california,Healthcare,"62,158",2022-06-05
california,Senior Facilities/Communities,"12,430",2022-06-05
california,Disability/AFN Organizations,536,2022-06-05
california,Non-Profit Organizations,"16,229",2022-06-05
california,Neighborhood Groups,"3,200",2022-06-05
california,Preparedness Organizations,"1,315",2022-06-05
california,Faith-based Organizations,"125,144",2022-06-05
california,"Museums, Libraries, Parks, etc.","1,520",2022-06-05
california,Animal Shelter/Service Providers,110,2022-06-05
california,Agriculture/Livestock Sector,0,2022-06-05
california,Volunteer Radio Groups,120,2022-06-05
california,Science/Engineering Organizations,182,2022-06-05
california,Media Organizations,0,2022-06-05
california,Other,205,2022-06-05
centralus,"<tr><td align=""left""><a href=""https://www.shakeout.org/centralus/participant_list.php?start=centralus&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">110</td></tr>",110,2022-06-05
centralus,Childcare and Pre-Schools,700,2022-06-05
centralus,K-12 Schools and Districts,"2,517",2022-06-05
centralus,Colleges and Universities,"11,675",2022-06-05
centralus,Local Government,"1,359",2022-06-05
centralus,State Government,300,2022-06-05
centralus,Federal/National Government (Including Military),"15,000",2022-06-05
centralus,Tribes/Indigenous Peoples,0,2022-06-05
centralus,Businesses,"16,551",2022-06-05
centralus,Hotels and Other Lodgings,0,2022-06-05
centralus,Healthcare,"2,386",2022-06-05
centralus,Senior Facilities/Communities,525,2022-06-05
centralus,Disability/AFN Organizations,250,2022-06-05
centralus,Non-Profit Organizations,280,2022-06-05
centralus,Neighborhood Groups,0,2022-06-05
centralus,Preparedness Organizations,4,2022-06-05
centralus,Faith-based Organizations,0,2022-06-05
centralus,"Museums, Libraries, Parks, etc.",300,2022-06-05
centralus,Animal Shelter/Service Providers,0,2022-06-05
centralus,Agriculture/Livestock Sector,0,2022-06-05
centralus,Volunteer Radio Groups,0,2022-06-05
centralus,Science/Engineering Organizations,0,2022-06-05
centralus,Media Organizations,0,2022-06-05
centralus,Other,"2,200",2022-06-05
cnmi,"<tr><td align=""left""><a href=""https://www.shakeout.org/cnmi/participant_list.php?start=cnmi&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">0</td></tr>",0,2022-06-05
cnmi,Childcare and Pre-Schools,0,2022-06-05
cnmi,K-12 Schools and Districts,0,2022-06-05
cnmi,Colleges and Universities,0,2022-06-05
cnmi,Local Government,0,2022-06-05
cnmi,State Government,0,2022-06-05
cnmi,Federal/National Government (Including Military),0,2022-06-05
cnmi,Businesses,0,2022-06-05
cnmi,Hotels and Other Lodgings,0,2022-06-05
cnmi,Healthcare,0,2022-06-05
cnmi,Senior Facilities/Communities,0,2022-06-05
cnmi,Disability/AFN Organizations,0,2022-06-05
cnmi,Non-Profit Organizations,0,2022-06-05
cnmi,Neighborhood Groups,0,2022-06-05
cnmi,Preparedness Organizations,0,2022-06-05
cnmi,Faith-based Organizations,0,2022-06-05
cnmi,"Museums, Libraries, Parks, etc.",0,2022-06-05
cnmi,Animal Shelter/Service Providers,0,2022-06-05
cnmi,Agriculture/Livestock Sector,0,2022-06-05
